北京市,天津市,河北省,山西省,内蒙古自治区,辽宁省,吉林省,黑龙江省,上海市,江苏省,浙江省,安徽省,福建省,江西省,山东省,河南省,湖北省,湖南省,广东省,广西壮族自治区,海南省,重庆市,四川省,贵州省,云南省,西藏自治区,陕西省,甘肃省,青海省,宁夏回族自治区,新疆维吾尔自治区,地区
5667.4,4947.2,13393.7,7466.3,6763.1,9475.9,4134.8,3640.1,10193.6,43507.5,26299.5,14970.0,20065.5,10820.3,28171.8,23035.6,18723.1,15401.7,43368.2,7046.4,1083.8,9392.0,17187.9,5971.5,8060.4,635.6,11779.5,2862.4,1153.9,1587.1,4784.4,2020年
5477.4,4835.3,12904.1,7074.5,6335.4,9049.0,4051.5,3536.0,10360.8,42129.4,25308.1,14094.4,18847.8,10081.2,27523.7,22038.6,17573.9,13904.1,41398.5,6692.9,1053.1,8842.2,16056.9,5506.2,7267.5,582.7,11215.3,2761.6,1093.7,1488.1,4657.2,2019年
5049.4,4564.1,12778.0,6635.3,5874.3,8328.9,3995.5,3519.5,9525.9,39124.1,23246.7,12681.2,16290.0,9444.6,26925.6,20940.3,15713.9,13459.8,38536.6,6138.3,996.4,8455.0,14569.2,4970.9,6317.8,469.6,10114.1,2515.8,975.7,1406.0,4096.2,2018年
4665.8,4368.0,12332.3,5113.6,5579.8,7865.7,3901.4,3689.7,8570.2,35041.5,21571.3,11517.5,14683.7,8732.5,25565.0,18986.9,14527.0,12942.0,35499.2,5621.0,904.0,7765.4,13450.1,4468.7,5747.4,390.4,8906.5,2483.5,867.7,1179.7,3446.1,2017年
4419.8,4489.6,11519.5,5219.7,5269.5,8344.6,3837.8,3926.9,8408.7,33371.8,20606.6,10838.3,13735.7,8367.7,24814.9,17947.9,13569.5,12665.7,33913.8,5391.0,882.9,7208.0,13192.5,4026.7,5491.7,341.8,8664.6,2505.4,761.1,1116.8,3446.1,2016年
4433.0,4615.5,11476.9,6378.0,5114.4,9038.8,3804.9,4872.4,8633.3,31048.8,19580.7,10982.6,13165.1,8238.7,23588.0,17139.6,13007.9,11825.1,31930.4,5145.6,826.5,6774.6,13082.7,3582.4,5376.5,310.3,9045.0,2823.3,714.8,1113.7,3829.3,2015年
4168.3,4407.1,11178.4,6684.3,4870.1,9204.2,3572.1,5202.7,8286.5,29149.4,18162.8,10233.4,11805.5,7661.9,22615.9,15995.4,11846.3,10913.8,29343.0,4709.3,750.9,5988.6,12418.9,3171.0,5000.5,270.8,8418.0,2674.0,681.0,1059.5,3479.9,2014年
3856.0,4134.0,10919.7,6852.7,4553.6,8886.9,3315.2,5099.8,8174.1,27150.8,17040.5,9247.9,10527.0,6893.3,21275.9,15042.6,11152.6,9926.7,27346.1,4503.1,747.2,5308.1,11231.1,2716.8,4458.4,226.1,7612.3,2493.3,620.2,992.5,3325.9,2013年
3563.3,3756.3,10275.5,6750.2,4044.0,8478.7,2931.4,4916.3,8169.3,25231.2,16271.0,8189.1,9316.6,6338.0,19926.1,14021.6,9766.1,8883.6,26161.1,4241.2,671.3,4571.3,10014.4,2258.9,3811.4,195.6,6484.3,2288.6,553.1,919.8,3093.4,2012年
3233.1,3259.7,8470.5,5349.6,3420.5,7181.8,2485.8,4146.1,7434.9,21853.6,14140.9,6396.0,7705.3,5083.1,17733.1,12173.5,7748.3,7034.7,22917.4,3465.2,528.6,3624.1,8283.2,1820.7,3267.7,155.0,5071.5,1910.4,444.2,733.4,2479.8,2011年
2736.4,2808.7,7164.4,4091.2,2916.0,6539.3,2055.1,3668.1,6184.8,18667.2,11882.4,4918.7,6129.1,3882.7,15919.7,10324.6,6035.5,5494.7,19439.7,2715.3,432.4,3016.8,6653.2,1574.9,2605.4,130.1,4017.5,1473.2,365.7,593.0,1846.0,2010年
2526.7,2659.7,6981.5,4389.0,2555.1,6273.1,1788.0,3935.0,6215.5,17051.1,11512.7,4194.5,5387.0,3518.8,14911.5,9713.4,5066.2,4870.0,18519.4,2466.0,412.6,2651.8,5766.5,1437.7,2476.1,110.8,3666.1,1429.9,350.3,558.1,1991.8,2009年
2413.4,2123.6,5849.5,3602.3,2122.7,5060.2,1477.7,3383.0,5677.5,14497.4,10122.7,3371.8,4521.8,2950.3,12529.4,7904.0,4128.9,3867.4,16022.6,2074.0,354.3,2237.3,4607.7,1187.2,2057.4,95.2,2865.9,1254.1,275.3,422.0,1588.5,2008年
2072.1,1834.5,4771.9,2799.3,1722.4,4060.7,1097.2,2998.0,4929.2,11991.1,8295.7,2653.2,3629.7,2337.6,10568.5,6316.2,3270.8,3030.7,13158.0,1604.7,291.6,1873.4,3658.1,953.0,1674.2,76.1,2271.0,972.5,228.1,321.9,1409.8,2007年
1907.4,1630.5,4123.9,2389.5,1377.8,3443.9,1002.4,2656.4,4314.9,10234.1,6953.7,2197.4,3095.9,1834.7,8841.1,5202.3,2758.8,2490.2,11049.2,1324.3,229.8,1559.2,2961.2,797.9,1387.3,60.5,1807.8,772.2,190.3,259.8,1127.1,2006年
1773.7,1348.3,3467.9,1931.6,1041.2,2957.8,903.4,2270.3,3872.2,8325.8,6160.4,1846.2,2738.7,1505.2,7327.6,4080.7,2273.5,2135.6,9191.7,1151.1,199.6,1392.6,2439.7,667.0,1267.8,51.3,1506.1,680.3,154.4,232.6,887.1,2005年
1456.4,1137.6,2922.7,1520.7,840.9,2841.0,805.7,1956.4,3239.6,6787.1,5126.3,1557.6,2329.7,1204.3,5720.0,3348.6,1949.8,1772.3,7684.4,955.1,175.8,1164.1,2020.5,570.7,1059.8,47.5,1221.2,572.2,132.2,191.8,700.3,2004年
1235.1,931.5,2467.7,1134.3,754.8,2599.7,793.5,1728.3,2635.3,5604.5,4112.9,1347.3,2029.2,941.8,5037.6,2881.6,1704.4,1523.5,6209.1,844.8,148.9,981.3,1733.4,482.0,942.1,32.7,1007.6,501.7,113.0,153.1,589.2,2003年
1127.2,858.8,2293.5,956.0,655.7,2431.5,747.5,1665.9,2413.8,4907.5,3590.1,1258.2,1796.7,786.1,4466.7,2497.7,1569.3,1412.8,5564.7,769.2,133.8,859.9,1572.0,433.5,871.4,32.0,878.8,458.1,96.1,135.9,560.5,2002年
